i2,index,Book,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Author,max_val,max_col,Image,Year,Description,Buy
10,10,B is for Bedpost,0,0,0,0,0,0,0,0,0,0,0.017104216,0,0,0.103414044,0,0,0.037851751,0.211910009,0,0,0,0,0.386002481,0.243262172,0,Lena Hart,0.386002481,22,https://m.media-amazon.com/images/I/8108g10CuCL._AC_UY218_.jpg,2015,"Newly engaged couple Athena Lewis and David Carrone are off to celebrate the best way they know howin bed someplace far from the glittering lights of Las Vegas. They arrive on a private island where pleasure, fun, and relaxation awaitsor so they believe. When they are invited to the island's most exclusive club, they soon discover that the ""Mansion"" is no ordinary nightclub. Luckily, David and Tena are no ordinary couple. Looking to add more excitement to their relationship, they take the opportunity to explore their secret desires and hidden cravings. But during their passionate exploration, the matter of trust resurfaces as painful memories from Tena's past returns, pushing them further from each other and threatening to sever their special bond. **Note: this short story is a continuation of the novel, HIS BEDPOST QUEEN. Both stories, however, can be read as standalones.",https://www.amazon.com/Bedpost-Queen-Quartette-Book-ebook/dp/B00TU02KYA/ref=sr_1_1?dchild=1&keywords=B+is+for+Bedpost+lena+hart&qid=1615770919&s=books&sr=1-1
11,11,Something Old,0,0,0,0,0,0,0,0,0,0,0.074634992,0,0,0.094255581,0,0,0.076679356,0.304861069,0,0.095995381,0,0,0.124464229,0.212559059,0,Lena Hart,0.304861069,17,https://m.media-amazon.com/images/I/71+J-0k9KeL._AC_UY218_.jpg,2016,"Jilted by the one woman he's ever loved, small town sheriff Guy Lawson vows never to let himself be so vulnerable. But when the woman who broke his heart returns to Cedar Bend, he is forced to uphold an old promise he made long ago... After two years of running from her father's death, Zamya ""Mya"" Daniels is ready to win back the man she loves. Except Guy doesn't believe in second chances. When Mya sets out to repair their broken relationship, Guy's guarded heart is helpless against his body's desires. Will their old bond be enough to save their loveor will they come to accept that some things just aren't meant to last?",https://www.amazon.com/Something-Brides-Cedar-Bend-Book-ebook/dp/B01CN80MJ0/ref=sr_1_1?dchild=1&keywords=Something+Old+lena+hart&qid=1615770976&s=books&sr=1-1
12,12,With Your Permission,0.022855408,0,0,0,0.033718415,0,0,0.342520356,0,0,0,0,0,0.451438189,0,0,0.013988857,0,0,0,0,0,0.101059109,0.016200639,0,Stephanie Nicole Norris,0.451438189,13,https://m.media-amazon.com/images/I/81bYg4ek+7L._AC_UY218_.jpg,2019,"It was their first encounter that landed them in newfound territory. Up and coming wedding planner Bri St. James is in the height of her career. As the CEO of Building Bridges LLC, Bri is driven by determination for success, and each day makes for new opportunities abound. However, while planning the wedding of one of Chicago's hottest couples, Bri's focus is shifted when the strum of a nocturnal voice captures her attention. Being an empath has empowered her sense of compassion for others, so she's not only drawn to him because of his broken heart but also from a fierce attraction that sparks her interest and tap dances on a groove on her heart. Getting involved with someone who's not open to love may prove to be the most difficult road Bri has ever journeyed, but she's unable to stop herself from falling into an irresistible tango of love. World-renowned photographer Raphael Valentine hasn't been in the public eye since the tragic death of his fiance four years prior. To date, his time is spent helping his charity of choiceeducating the community about the dangers of driving while intoxicated. For him, love is a thing of the past until meeting Bri St. James at his brother's rehearsal dinner made Raphael question what he'd always believed to be true. There was no explanation for the riot of pulsing sensations that ripped through his core when his eyes met hers. The unquenchable heat that followed stirred his soul, sending his heart on a quest he himself hadn't agreed to venture on. As a friendship between the two flourishes, and they're cloaked in a dynamic surge of desire, Raphael is met with the ultimate challenge: surrender to a second chance at love or abandon his happily ever after for a lifetime.",https://www.amazon.com/Your-Permission-Heart-Valentine-Book-ebook/dp/B07MWH6HFJ/ref=sr_1_1?dchild=1&keywords=With+Your+Permission&qid=1615771039&s=books&sr=1-1
13,13,Just One More Time,0,0,0,0,0.259672254,0,0.054768901,0,0,0,0,0.023318704,0,0.188084081,0,0,0.011034596,0.017042294,0,0.036366601,0.015244928,0,0.213319704,0.163332328,0,Rilzy Adams,0.259672254,4,https://m.media-amazon.com/images/I/81LJTT96JxL._AC_UY218_.jpg,2018,"When Orlando Johnson walked out on Katrina Bolton nearly a decade ago, he swore to anyone who would listen that he would never regret it. Now fate has tossed them back together in the form of a little boy who needs their love and protection and Orlando realizes leaving Kat was the worst mistake of his life. Orlando is determined to get her back, but can he convince her to let them try their hand at love just one more time?",https://www.amazon.com/Just-More-Time-Falling-Johnson-ebook/dp/B07K2RJF6G/ref=sr_1_1?dchild=1&keywords=Just+One+More+Time+rilzy+adams&qid=1615771123&s=books&sr=1-1
14,14,Let Me Hold You,0,0,0,0,0.04871555,0,0,0,0,0,0,0,0,0,0,0,0,0.812895238,0,0,0,0.13825348,0,0,0,Alexandria House,0.812895238,17,https://m.media-amazon.com/images/I/91CMQ167npL._AC_UY218_.jpg,2018,"NBA player, Leland McClain, the baby of the McClain family, is tall, handsome, talented...and spoiled. He's a man who gets what he wants, and what he wants is the lovely Kimberly Hampton. Kim Hampton is the director of a community center, a woman who lives to help others while trying to forget a troubling past. As far as she's concerned, a relationship with any man is a horrible idea. But a relationship with Leland McClain? That's just out of the question. He has to have her. She is undeniably attracted to him. But will she lower her guard and let him hold her?",https://www.amazon.com/Let-Hold-McClain-Brothers-Book-ebook/dp/B07DNP5XSW/ref=sr_1_2?dchild=1&keywords=Let+Me+Hold+You&qid=1615771175&s=books&sr=1-2
15,15,A Marriage Worth Saving,0,0,0,0,0.059194997,0.016582243,0.18441613,0,0,0.022264838,0.025661254,0.049620636,0,0.018166305,0,0,0,0,0,0.026304759,0,0,0,0.597638071,0,Therese Beharrie,0.597638071,23,https://m.media-amazon.com/images/I/81stHGenlFL._AC_UY218_.jpg,2017,"Never too late... Once, Mila Thomas had love, marriage and the promise of the family she'd always longed for, until tragedy struck. Now, with the ink still drying on her divorce papers, no matter how painful it is, it's time to move on... To begin again? Leaving Mila was the hardest thing Jordan's ever had to do. However, when fate brings them back together, he's reminded of what drew him to his beautiful wife in the first place, and he wonders if it's ever too late to try again?",https://www.amazon.com/Marriage-Worth-Saving-Harlequin-Romance-ebook/dp/B01MTMU9DJ/ref=sr_1_1?dchild=1&keywords=A+Marriage+Worth+Saving+Therese+Beharrie&qid=1615771312&s=books&sr=1-1
16,16,The Rebel King,0.54586345,0,0,0,0.046381991,0,0.020627335,0,0,0,0,0,0,0,0,0,0.020770196,0,0,0,0,0,0,0.358188361,0,Kennedy Ryan ,0.54586345,0,https://m.media-amazon.com/images/I/91F9hu31JML._AC_UY218_.jpg,2019,"Ambition. Revenge. Love. Raised to resist. Bred to fight. Survival is in my blood and surrender is never an option. Though surrender is what Maxim Cade demanded of my body and heart, I had other plans. We were fast-burning fascination and combustible chemistry, but the man I trusted with everything was a trickster. A thief who stole my love. If what we had was a lie, why did it feel so real? The man I swore to hate will have it all, and wants me at his side. But power is a game, and we're the pawns and players. Facing insurmountable odds, will we win the world, or will we lose it all?",https://www.amazon.com/Rebel-King-Kings-Duet-Book-ebook/dp/B07Z7BRNT7/ref=sr_1_3?dchild=1&keywords=The+Rebel+King+Kennedy+Ryan&qid=1615771361&s=books&sr=1-3
17,17,Tempted by The Billionaire Next Door,0,0,0,0,0.05232906,0,0.143375963,0,0,0,0.087398417,0,0,0.070130222,0,0,0.012389519,0,0,0,0,0,0,0.614025176,0,Therese Beharrie,0.614025176,23,https://m.media-amazon.com/images/I/81q5n7uyjiL._AC_UY218_.jpg,2018,"He's the one man who's off-limits... But could he be her Mr. Right? When Jessica Steyn learns her delicious new neighbor is actually her best friend's brother, billionaire bad boy Dylan Nel, she's torn. After all, she's just become his sister's surrogate! Acting on their attraction would complicate things, but they're soon growing closer. Overcoming Dylan's troubled family historyand Jessica's pregnancyseems impossible, but could the answer to their heartaches be just next door?",https://www.amazon.com/Tempted-Billionaire-Next-Harlequin-Romance-ebook/dp/B0776WXDPT/ref=sr_1_1?dchild=1&keywords=Tempted+by+The+Billionaire+Next+Door+Therese+Beharrie&qid=1615771454&s=books&sr=1-1
18,18,King's Promise,0.04048181,0,0,0,0.145515099,0,0,0,0,0,0,0,0,0.649670839,0,0,0,0,0,0,0,0.041433603,0.107502691,0,0,Adrianne Byrd,0.649670839,13,https://m.media-amazon.com/images/I/513jNJ9q8EL._AC_UY218_.jpg,2011,"The sexy King brothers own a successful bachelor-party-planning business and a string of upscale clubs across the country. What could be better than living the single life in some of the world's most glamorous cities? Finding a woman worth giving it up for... A promise of ecstasy... Bartender Cheryl Shepherd has just done the unthinkableshe has shot down Xavier King. Repeatedly. Now the handsome club owner is on a mission to seduce her. And when he finally succeeds, he's blown away by their wild chemistry. For a notorious player, a sexy, confident woman like Cheryl is a risky proposition. Xavier has no idea how right he is. An undercover cop, Cheryl is really investigating alleged criminal activity in his club. Yet every time she's alone with her boss, Cheryl starts to lose her head along with all her inhibitions. But when the case grows dangerous, can Xavier be trusted with her heart...and her life?",https://www.amazon.com/Kings-Promise-House-Adrianne-Byrd-ebook/dp/B004Z2I54C/ref=sr_1_2?dchild=1&keywords=King%27s+Promise+Adrianne+Byrd&qid=1615771502&s=books&sr=1-2
19,19,Taming of Jessi Rose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995099068,0,0,0,0,0,0,0,0,Beverly Jenkins,0.995099068,16,https://m.media-amazon.com/images/I/51YimlL9B0L._AC_UY218_.jpg,2009,"No Man Could Tame Her Jessi Rose Clayton would do anything to keep the family ranch from falling into the wrong hands-even agree to take on a rough-and-tumble outlaw as her protector. With his rugged, handsome face and muscular bronze body, Griffin Blake can draw a sigh from a lady's lips almost as fast as his strong, sculpted arm can draw a gun from its holster. But Jessi Rose has no intentions of falling for his charms. No, her relationship with him is strictly business. Until He Came Along Robbing the railroad is Griffin Blake's game, but he has no choice. Either he agrees to help Jessi Rose or he gets sent back to jail-so he arrives at the ranch ready to help the ornery female protect her land. But underneath Jessi's all-business exterior is a femininity she's kept hidden for far too long-making Griffin think it might be time to tame this wild Texas rose.",https://www.amazon.com/Taming-Jessi-Rose-Beverly-Jenkins-ebook/dp/B000O76NQO/ref=sr_1_1?dchild=1&keywords=Taming+of+Jessi+Rose+Beverly+Jenkins&qid=1615771562&s=books&sr=1-1
