Author,Book,Image,Year,Description,Buy,Book_old,file_number
Cheris Hodges,Just Can't Get Enough,https://m.media-amazon.com/images/I/51J+YEiWkzL.jpg,2007,"Both down-home sweet and seductive, Cheris Hodges's new novel is about breaking the rules, going back home. . .and finding more than your heart's desire...

Celina Hart had security, a steady job, a predictable fianc. . .and nothing that was making her truly happy. She gave it all up to gamble on her talent, and found success she'd never imagined as one of New York's hottest painters. But when she returns to her South Carolina hometown to care for her ailing father, she gets an even bigger surprise. That 'bow-legged' neighbor's boy she used to play with has grown up into Darius McRae, a lawyer who gave up the D.C. fast-lane to get back to his roots. Now, Darius' dark-chocolate build and slow, easy smile are proving to be just as tempting as any city lights.

The last thing Darius was looking for was a relationship. He'd been burned by too many women who put finance over romance--including his conniving ex-girlfriend Cortina. But Celina's sense of humor and unpretentious ways are igniting more than his passions. And when Cortina starts stirring up a mess of trouble, Darius will do whatever it takes to show Celina a home-grown love is a dream worth everything.",https://www.amazon.com/Just-Cant-Enough-Cheris-Hodges-ebook/dp/B005JE9576/ref=sr_1_1?dchild=1&keywords=Cheris+Hodges+Just+cant+get+enough&qid=1615947081&s=digital-text&sr=1-1,Just cant get enough,82
Cheris Hodges,Let's Get It On,https://m.media-amazon.com/images/I/417gr16XX9L.jpg,2010,"She's So Not Having This Problem

I go on vacation in the Bahamas to celebrate my promotion and who do I see? Maurice Goings, NFL superstar, my high school and college sweetheart... the man who not only broke my heart, but drop-kicked it beyond repair. We were only a few weeks away from marriage when I caught him cheating on me. I changed schools, became a top lawyer, and swore that I'd never be hurt like that again. I don't care that Maurice is even finer than ever before, I'm not letting him fool me twice.

But He's Ready To Do Whatever It Takes. . .

I know I hurt Kenya a lot, but I really do love her. No matter how much she tries to push me away, fate keeps drawing us back into each other's arms--and God knows there's still so much sizzling chemistry between us. So this is my last chance to show her that she can trust me again. It's going to be the hardest thing I've ever done--but Kenya's worth it.",https://www.amazon.com/Lets-Get-Cheris-Hodges-ebook/dp/B0041OT8AY/ref=sr_1_1?dchild=1&keywords=Cheris+Hodges+Lets+get+it+on&qid=1615952265&s=digital-text&sr=1-1,Lets get it on ,83
Cheris Hodges,Love After War,https://m.media-amazon.com/images/I/51GUX8PLK2L._SY346_.jpg,2013,"When club owner Adrian Bryant discovers his biological father is hotel magnate Elliot Crawford, his life unravels. Shunned by Crawford while he and his mother struggled, Adrian hatches a high-profile plan to destroy the Crawford name--and the reputations of his two half-brothers. But to shield the woman he loves from the hell he intends to unleash, Adrian has to let her go.

Photographer Dana Singleton is heartbroken and confused by Adrian's behavior. But just when she's given up on their relationship, she begins to discover the truth--and a dark side of Adrian she never knew existed. As the stakes get higher, she will have to ask herself if she can love a man who is capable of such vengeance--or if he can learn to forgive.",https://www.amazon.com/Love-After-War-Cheris-Hodges-ebook/dp/B00CSX8UT0/ref=sr_1_1?dchild=1&keywords=Cheris+Hodges+Love+After+War&qid=1615952375&s=digital-text&sr=1-1,Love after war,84
Cheris Hodges,More Than He Can Handle,https://m.media-amazon.com/images/I/41LN48XPfwL.jpg,2010,"He's One Mistake She Plans To Forget...

As maid-of-honor to a friend who's gone Bridezilla, Winfred 'Freddie' Barker is dealing with minute-to-minute drama from her crazy-extravagant wedding. So when the ceremony is over and the reception starts heating up, Freddie blows off steam with a little champagne--and a lot of the best man, Cleveland Alexander. It was definitely going to be just a one-night fling, 'cause no woman in her right mind would fall for that man's arrogant, self-centered self, no matter how caramel-fine he is...

She's The One Woman He Can't Live Without...

As a hard-core bachelor, Cleveland Alexander was strictly all about beddin' and forgettin'. And the only reason he let Ms. Winfred Barker call his bluff was to put her stuck-up attitude in check. But once he sees how complicated and caring she really is, he'll do anything to help solve her problems--and convince her that the love between them is a lifetime of real.",https://www.amazon.com/More-Handle-Dafina-Contemporary-Romance-ebook/dp/B0041OT94O/ref=sr_1_1?dchild=1&keywords=Cheris+Hodges+More+than+he+can+handle&qid=1615952424&s=digital-text&sr=1-1,More than he can handle,85
Cheris Hodges,No Other Will Do,https://m.media-amazon.com/images/I/51ScOYSrfCL._SY346_.jpg,2010,"Ultimate bad boy Solomon Crawford dates for sport. He hunts the most attractive women in town, and after sex, leaves before sunrise, never to return. He also happens to co-own Carolina Serenity--the hottest resort in Sugar Mountain, North Carolina--where stunner Kandace Davis is taking a much-needed break from her hectic work schedule. The last thing the two expect is to find each other--in a steamy hot tub.

Solomon is the most arrogant, wickedly sexy man Kandace has ever met, but she's not the only one who can't resist him. Carmen De La Croix, Solomon's business partner, has loved him from the start--with a vengeance. There's no way in hell she'll allow Solomon and Kandace to play out their passion in front of her. In fact, she'll do whatever it takes to keep Solomon away from the woman he's finally ready to watch the sunrise with.",https://www.amazon.com/No-Other-Lover-Will-Do-ebook/dp/B003YL4DIC/ref=sr_1_1?dchild=1&keywords=Cheris+Hodges+No+other+will+do&qid=1615952512&s=digital-text&sr=1-1,No other will do ,86
Cheris Hodges,Owner of a Broken Heart,https://m.media-amazon.com/images/I/519JbSCOR3L._SY346_.jpg,2020,"The four very different Richardson sisters have one thing in common: their fierce loyalty to their family and pride in the historic bed and breakfast they own. But unexpected desire will challenge them in ways they never imagined...

Sportswriter Nina Richardson had the perfect life away from her family's famous shadow. But a social media blowup and rejection by her boyfriendbrought her back to their peaceful Charleston, South Carolina B&B to figure out what went wrong. So there's no way she's going to trust the crazy-hot sparks flying between her and handsome new employee Clinton Jefferson. It's just reckless, rip-his-clothes-off, one-night-and-forget-it lust--right?

Fresh from working for the Richardsons' biggest rival, Clinton wants to show his modernization ideas aren't sabotage or a gimmick. Getting involved with the rebellious Nina means trouble for sure--but he can't resist showing this stubborn, fiery woman how she should be loved. But false accusations and Nina's returned ex shake their passion--and fragile trust--to the core. Now between cascading obstacles and conflicting loyalties, can Clinton and Nina untangle what they really want in time?",https://www.amazon.com/Owner-Broken-Heart-Richardson-Sisters-ebook/dp/B07R5KBZGT/ref=sr_1_1?dchild=1&keywords=Cheris+Hodges+Owner+of+a+Broken+Heart&qid=1615952580&s=digital-text&sr=1-1,Owner of a broken heart,87
Cheris Hodges,Recipe for Desire,https://m.media-amazon.com/images/I/51qLwDSenqL._SY346_.jpg,2011,"A Party Girl's Work Is Never Done...

At twenty-seven, Marie Charles is still Charlotte's number one party girl. But when she adds a DWI arrest and a totaled Jaguar to her list of tabloid news-making escapades, her daddy is done bailing her out. Sentenced to five hundred hours of community service at My Sister's Keeper, a homeless shelter for women, Marie won't have much time left for partying.

Renowned chef and TV star Devon Harris volunteers at My Sister's Keeper. And he's not happy Marie is joining him. He may be single--and she may be gorgeous--but the last thing he's interested in is a superficial southern belle. But as Marie outgrows the selfish girl she was, Devon is turned on by the woman she's becoming.",https://www.amazon.com/Recipe-Desire-Cheris-Hodges-ebook/dp/B005QFC6ME/ref=sr_1_1?dchild=1&keywords=Cheris+Hodges+Recipe+for+Desire&qid=1615952651&s=digital-text&sr=1-1,Recipe for desire,88
Cheris Hodges,Strategic Seduction,https://m.media-amazon.com/images/I/51InSszzlFL.jpg,2018,"Alicia Michaels needs a major career reboot, so she's got no time for romance. But starting over in Atlanta is an uphill battle for the cautious PR rep--especially after she teams up with wealthy Richmond Crawford on a make-or-break project. For one thing, the risk-taking entrepreneur is nothing like the staid businessman he used to be. For another, she and Richmond can't see eye-to-eye on anything--except that the reckless attraction between them is sizzling, off-the-charts trouble...

Playing by the rules got Richmond betrayal from his rich family--and shattering heartbreak. He's got to prove he can be his own man, so keeping things strictly-business with Alicia is the smart play. Still, even their conflicts only make Richmond want more of her honesty and courage. But a shocking revelation will endanger everything they're fighting to build. And making things right could be the final deal breaker.",https://www.amazon.com/Strategic-Seduction-Cheris-Hodges-ebook/dp/B074DGV3S6/ref=sr_1_1?dchild=1&keywords=Cheris+Hodges+Strategic+seduction&qid=1615952699&s=digital-text&sr=1-1,Strategic seduction,89
Christiana Harrell,Cream,https://m.media-amazon.com/images/I/41qILD7evdL.jpg,2013,"Cream, an androgynous beauty, knows what it's like to be abandoned, broke, and used. Left to the state by her parents and taken under the wing of her selfish foster mother, Cream sets her focus on one thing: money. She dives head first into the exotic lifestyle of stripping. Starting out in gentlemen clubs, drama seems to follow her wherever she goes. Instead of facing the turmoil, she moves on to the next city, causing more chaos than what she left behind.

She thinks she has life all figured out until she crosses paths with Payton, a daddy's girl with lots of cash and a lust for women. Payton makes her learn things about herself that she never saw possible and with her new discovery comes a big change in her look and personality.

Cream is at the top of her game, surrounded by money and beautiful women. Then, one wild night forces her to discover yet another truth about herself and face the reality of her lifestyle. Will she continue to dwell in her unstable comfort zone? Or, will she finally open her eyes?",https://www.amazon.com/Cream-Stud-Life-Christiana-Harrell-ebook/dp/B00EP5F0PG/ref=sr_1_1?dchild=1&keywords=Christiana+Harrell+Cream&qid=1615952761&s=digital-text&sr=1-1,Cream,90
Christiana Harrell,Girl: A Story for Every Les Being,https://m.media-amazon.com/images/I/416im8HUkjL.jpg,2019,"Take a journey with several characters in different stories. Christiana's first short story collection introduces you to the life of women who love women. She caters to every label and ""no label"" across the LGBTQ spectrum: studs, femmes, pillow princesses, no labels, butches, FTM's, bisexuals etc. Meet them all between one cover as your eyes explore fictional stories that will make you laugh and cry and maybe even a little bit angry from heated arguments, fist fights, struggles with religion, heartbreak, closet cases, deception, and passionate sex scenes. Nothing is left to the imagination. There is something for every lesbian from every walk of life.",https://www.amazon.com/Girl-Story-Every-Christiana-Harrell-ebook/dp/B07NKDHCYY/ref=sr_1_1?dchild=1&keywords=Christiana+Harrell+Girl&qid=1615952815&s=digital-text&sr=1-1,Girl: A Story for Every Les Being,91
Christina C. Jones,Bending the Rules,https://m.media-amazon.com/images/I/51oVjRS5YUL.jpg,2016,"Justin and Toni were friends.

Besties, with a whole list of life rules developed over a friendship that started when they were kids. As long as they stuck to the rules, even when they blended a business relationship into the friendship, things went off without a hitch.

But then one of them broke the rules - It was Justin. Justin broke the rules- and Toni has been mad about it ever since.

She's spent the last several years traveling the globe to cultivate her business, but now she's back in town. Her only goals? Help her parents with Mr. Bestseller's signing at the store, help them pack up their house to sell, and get out of town without too much interaction with her former best friend.

Mr. Bestseller has different goals.

He broke the rules - no getting around that, and he's not trying to. His main goal now that Toni is finally home is to get her to hear him out... and get his friend back.

Neither of them anticipated that the rift in their relationship would be the catalyst for seeing each other in a whole different light. But now that they do, they're wondering if it may be time to make some amendments to those rules.",https://www.amazon.com/Bending-Rules-Wright-Brothers-Book-ebook/dp/B01N046F8F/ref=sr_1_1?dchild=1&keywords=Christina+C.+Jones+Bending+the+rules&qid=1615952945&s=digital-text&sr=1-1,Bending the rules,232
Christina C. Jones,Bittersweet,https://m.media-amazon.com/images/I/41eJXE1g5XL.jpg,2019,"It's looking like Anika might be alone for the holidays... unless the very last person she'd ever want to spend them with can convince her otherwise.
Is it really enemies-to-lovers if the disdain is one-sided?",https://www.amazon.com/Bittersweet-Equilibrium-Book-Christina-Jones-ebook/dp/B082T2RD4K/ref=sr_1_1?dchild=1&keywords=Christina+C.+Jones+Bittersweet&qid=1615953056&s=digital-text&sr=1-1,Bittersweet,233
Christina C. Jones,Determining Posession,https://m.media-amazon.com/images/I/51fl6NUaf7L._SY346_.jpg,2017,"Good decisions don't always leave you unscathed.

Sometimes, the best choice might be the one that leaves you vulnerable. The one that forces you to face a not-so-distant past that hurts, or go through with something you never thought would come to fruition. The one that makes taking a risk your only viable option.

Wilhelmina 'Wil' Cunningham is no stranger to pressure. The child of an Olympian and a title-winning boxer, and a former Olympian herself, Wil has gained an 'America's sweetheart' sort of reputation - a high pedestal to fall from when her world gets rocked by betrayal and deceit, from more than one direction.

Not that long ago, Ramsey Bishop dominated the field, as one of the best running backs the league had ever seen. Personal tragedy drew him away, but he made a promise he can't take back, and no one will let him forget. Keeping that promise though... much easier said than done.

But Wil believes he can. And Ramsey believes Wil can and will bounce back from the misfortunes that have the potential to destroy her if she lets them. Their supportive, motivational back and forth is just one element of what has grown into a friendship neither of them would choose to do without. But could it be... more?

With their recent pasts littered with baggage and sorrow, and both of them facing uncertain futures, Wil and Ramsey have enough stress on their hands, but they'll have to make a choice - continue their friendship as it was before, or risk it all for the possibility of something amazing?",https://www.amazon.com/Determining-Possession-Connecticut-Kings-Book-ebook/dp/B0743JZGDS/ref=sr_1_1?dchild=1&keywords=christina+c.+jones+determining+possession&qid=1615953107&s=digital-text&sr=1-1,Determining posession ,234
